sku	product_name	category	prev_year_cost	prev_year_price	prev_year_margin	new_cost	prev_year_sales	win_rate
SOL-PE-500ML-TECH	Petroleum Ether, 500 mL	Solvents	4.52	5.61	0.1939	4.75	23543.15	0.8263
SOL-MIK-55G-TECH	Methyl Isobutyl Ketone (MIBK), 55 Gal Drum	Solvents	1719.59	1952.2	0.1192	1811.29	0	
WTR-POLY-2P5KG-IND-2	Polyacrylamide (Cationic), Industrial Grade, 2.5 kg	Water Treatment	50.66	82.78	0.388	57.07	0	
BAS-SC-500G-IND	Sodium Carbonate (Soda Ash), Industrial Grade, 500 g	Bases & Alkalis	3.22	4.75	0.3224	3.45	0	
SOL-ETHA-1G-USP	Ethanol (Denatured), USP/NF Grade, 1 Gal	Solvents	50.86	66.55	0.2358	60.05	485929.44	0.4867
RES-UFR-5G-IND	Urea Formaldehyde Resin, Industrial Grade, 5 Gal	Resins & Polymers	151.29	239.1	0.3673	164.21	10715.51	0.27
SOL-PGME-1G-IND	Propylene Glycol Methyl Ether, Industrial Grade, 1 Gal	Solvents	53.62	72.64	0.2619	58.4	11553.69	0.6618
BAS-DIET-55G-IND	Diethanolamine (DEA), Industrial Grade, 55 Gal Drum	Bases & Alkalis	1747.43	2758.63	0.3666	1778.69	0	
BAS-MO-500G-TECH	Magnesium Oxide, 500 g	Bases & Alkalis	3.99	5.81	0.3129	4.21	0	
BAS-SH-50LB-TECH	Sodium Hydroxide (Caustic Soda), 50 lb Bag	Bases & Alkalis	89.58	119.49	0.2503	101.21	625479.12	0.6312
WTR-TP-25KG-IND	Trisodium Phosphate (TSP), Industrial Grade, 25 kg Bag	Water Treatment	151.44	221.83	0.3173	159.5	0	
SOL-2-PR-500ML-TECH	2-Propanol, 500 mL	Solvents	3.98	4.9	0.1881	4.1	5000	0.8362
BAS-SH-500G-TECH	Sodium Hydroxide (Caustic Soda), 500 g	Bases & Alkalis	2.78	4.14	0.3292	3.14	23625.11	0.5075
ADD-FR-25KG-TECH	Flame Retardant (DECA-BDE), 25 kg Bag	Plasticizers & Additives	384.94	582.21	0.3388	401.42	51467.21	0.7885
SOL-TETR-500ML-TECH	Tetrahydrofuran (THF), 500 mL	Solvents	11.73	15.63	0.2496	12.68	237504.29	0.3088
SPC-CTA-500ML-TECH	Chain Transfer Agent (Dodecyl Mercaptan), 500 mL	Specialty Chemicals	18.27	48.98	0.627	18.28	15124.33	0.5876
ADD-AA-2P5KG-TECH	Anti-Block Agent (Silica), 2.5 kg	Plasticizers & Additives	26.23	43.92	0.4028	27.78	155368.63	0.4484
BAS-DIET-500ML-IND	Diethanolamine (DEA), Industrial Grade, 500 mL	Bases & Alkalis	7.19	10.68	0.3268	7.32	0	
SOL-CHLO-1G-IND	Chloroform, Industrial Grade, 1 Gal	Solvents	52.89	73.4	0.2794	56.01	0	
SOL-DE-500ML-IND	Diethyl Ether, Industrial Grade, 500 mL	Solvents	8.52	11.29	0.2455	8.81	14364.16	0.464
SAL-MS-50LB-TECH	Magnesium Sulfate (Epsom Salt), 50 lb Bag	Salts & Inorganic Compounds	80.43	101.19	0.2052	84.78	469284.33	0.5856
RES-PR-5G-TECH	Phenolic Resin, 5 Gal	Resins & Polymers	221.62	339.98	0.3481	249.67	26587.48	0.548
ADD-SA-500G-TECH	Slip Agent (Erucamide), 500 g	Plasticizers & Additives	8.94	15.03	0.4052	8.26	0	
WTR-IER-500G-TECH	Ion Exchange Resin (Cation), 500 g	Water Treatment	14.25	23.77	0.4006	16.55	0	
ACD-SA-1G-IND	Sulfuric Acid, Industrial Grade, 1 Gal	Acids	15.09	20.65	0.2692	15.76	13472.2	0.5842
OXD-SC-500G-TECH	Sodium Chlorate, 500 g	Industrial Gases & Oxidizers	4.28	6.94	0.3835	4.92	34090.75	0.5001
SOL-2-PR-500ML-ACS	2-Propanol, ACS Reagent Grade, 500 mL	Solvents	5.39	6.47	0.1671	5.56	171356.62	0.8236
ACD-FA-2P5KG-TECH	Fumaric Acid, 2.5 kg	Acids	31.72	49.56	0.36	32.61	20948.53	0.7456
ACD-HA-500ML-IND-2	Hydrofluoric Acid (49%), Industrial Grade, 500 mL	Acids	17.44	22.15	0.2126	20.91	0	
WTR-AC-500G-TECH-2	Activated Carbon (Powdered), 500 g	Water Treatment	6.67	9.07	0.2648	7.33	17298.62	0.6608
SOL-MS-1G-IND	Mineral Spirits, Industrial Grade, 1 Gal	Solvents	26.61	37.38	0.2881	26.89	38579.08	0.8271
SOL-ETHA-1G-TECH	Ethanol (Denatured), 1 Gal	Solvents	32.39	43.64	0.2578	38.24	49667.59	0.95
SOL-DS-5G-TECH	Dimethyl Sulfoxide (DMSO), 5 Gal	Solvents	258.67	333.6	0.2246	278.18	0	
BAS-PC-500G-TECH	Potassium Carbonate, 500 g	Bases & Alkalis	4.75	6.75	0.2958	5.06	224747.4	0.6669
SOL-D-LI-55G-IND	d-Limonene, Industrial Grade, 55 Gal Drum	Solvents	2398.87	3481.37	0.3109	2751.03	64627.35	0.3247
WTR-POLY-500G-TECH	Polyacrylamide (Anionic), 500 g	Water Treatment	8.81	11.23	0.2154	9.25	0	
ADD-TP-500ML-IND	Tributyl Phosphate (TBP), Industrial Grade, 500 mL	Plasticizers & Additives	12.8	23.45	0.4541	13.98	0	
SOL-ACET-5G-TECH-2	Acetonitrile, 5 Gal	Solvents	372.07	515.47	0.2782	407.02	0	
ACD-SA-25KG-IND	Stearic Acid, Industrial Grade, 25 kg Bag	Acids	204.63	347.83	0.4117	208.13	0	
SOL-IA-55G-TECH	Isopropyl Alcohol, 55 Gal Drum	Solvents	859.21	1280.4	0.329	963.18	148320.88	0.3818
ACD-OA-1G-IND	Oleic Acid, Industrial Grade, 1 Gal	Acids	45.25	60.33	0.2499	49.32	0	
ACD-AA-500ML-TECH	Acetic Acid (Glacial), 500 mL	Acids	4.76	7.45	0.3608	5.11	0	
SAL-MS-50LB-IND	Magnesium Sulfate (Epsom Salt), Industrial Grade, 50 lb Bag	Salts & Inorganic Compounds	86.25	108.08	0.202	90.92	7179.16	0.6429
SOL-TURP-55G-IND	Turpentine, Industrial Grade, 55 Gal Drum	Solvents	1622.11	2046.47	0.2074	1760.5	0	
BAS-MONO-5G-TECH	Monoethanolamine (MEA), 5 Gal	Bases & Alkalis	169.88	228.31	0.2559	182.2	0	
SAL-ST-500G-TECH	Sodium Thiosulfate, 500 g	Salts & Inorganic Compounds	3.61	4.84	0.2549	3.89	12912.24	0.95
SOL-GEE-1G-TECH	Glycol Ether EB, 1 Gal	Solvents	44.82	67.96	0.3405	49	780136.59	0.5862
ACD-FA-55G-ACS	Formic Acid (88%), ACS Reagent Grade, 55 Gal Drum	Acids	2249.9	3204.54	0.2979	2837.07	885013.72	0.7052
SOL-CHLO-55G-IND	Chloroform, Industrial Grade, 55 Gal Drum	Solvents	2018.5	2688.08	0.2491	2137.45	0	
SAL-CC-500G-TECH	Calcium Chloride (Flake), 500 g	Salts & Inorganic Compounds	3.01	4.01	0.249	2.87	0	
WTR-PC-1G-ACS	Polyaluminum Chloride (PAC), ACS Reagent Grade, 1 Gal	Water Treatment	33.14	48.9	0.3223	35.14	0	
SAL-ZC-25KG-IND	Zinc Chloride, Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	236.08	326.31	0.2765	242.61	0	
ACD-FA-1G-ACS	Formic Acid (88%), ACS Reagent Grade, 1 Gal	Acids	60.57	94.06	0.356	76.38	5630.93	0.3978
BAS-TRIE-5G-TECH	Triethanolamine (TEA), 5 Gal	Bases & Alkalis	201.73	293.66	0.3131	214.19	59175.36	0.4661
SAL-ZC-2P5KG-IND	Zinc Chloride, Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	28.92	36.84	0.215	29.72	0	
WTR-SH-55G-IND	Sodium Hypochlorite (12.5%), Industrial Grade, 55 Gal Drum	Water Treatment	590.31	811.81	0.2728	686.4	0	
SOL-PE-1G-TECH	Petroleum Ether, 1 Gal	Solvents	29.56	36.64	0.1933	31.09	866986.95	0.2146
SPC-IC-1G-IND	Isocyanate Crosslinker (HDI Trimer), Industrial Grade, 1 Gal	Specialty Chemicals	117.55	237.95	0.506	123.12	0	
SOL-MEK-55G-TECH	Methyl Ethyl Ketone (MEK), 55 Gal Drum	Solvents	1684.8	2333.33	0.2779	2135.52	0	
WTR-AS-500G-IND	Aluminum Sulfate (Alum), Industrial Grade, 500 g	Water Treatment	2.12	2.99	0.2909	2.28	0	
BAS-SM-50LB-IND	Sodium Metasilicate, Industrial Grade, 50 lb Bag	Bases & Alkalis	124.92	165.83	0.2467	130.57	0	
BAS-LH-50LB-ACS	Lithium Hydroxide, ACS Reagent Grade, 50 lb Bag	Bases & Alkalis	1037.5	1510.59	0.3132	1211.37	0	
SAL-ZS-2P5KG-IND	Zinc Sulfate, Industrial Grade, 2.5 kg	Salts & Inorganic Compounds	19.78	27.32	0.276	21.63	0	
ACD-CA-25KG-IND	Citric Acid, Industrial Grade, 25 kg Bag	Acids	207.55	329.53	0.3702	213.11	0	
ACD-HA-1G-IND-2	Hydrofluoric Acid (49%), Industrial Grade, 1 Gal	Acids	116.8	163.14	0.2841	140.07	0	
SOL-DICH-5G-IND	Dichloromethane (DCM), Industrial Grade, 5 Gal	Solvents	199.73	277.68	0.2807	203.5	0	
WTR-CH-25KG-TECH	Calcium Hypochlorite (65%), 25 kg Bag	Water Treatment	213.27	351.09	0.3925	215.53	216120.22	0.6695
SPC-BIOC-500ML-IND	Biocide (CMIT/MIT), Industrial Grade, 500 mL	Specialty Chemicals	27.99	64.3	0.5647	26.32	0	
SOL-PE-5G-TECH	Petroleum Ether, 5 Gal	Solvents	124.73	177.66	0.2979	131.17	1939726.8	0.2737
OXD-PP-2P5KG-TECH	Potassium Persulfate, 2.5 kg	Industrial Gases & Oxidizers	35.91	53.51	0.3289	38.79	202002.14	0.42
OXD-CP-500G-TECH	Calcium Peroxide, 500 g	Industrial Gases & Oxidizers	11.37	17.35	0.3447	14.43	12711.3	0.7819
ADD-ANTI-25KG-IND	Antioxidant (Irganox 1010), Industrial Grade, 25 kg Bag	Plasticizers & Additives	684.85	987.46	0.3065	715.14	84847.5	0.7417
SPC-WA-500ML-TECH	Wetting Agent (Silicone), 500 mL	Specialty Chemicals	24.76	55.69	0.5554	25.7	0	
WTR-CH-25KG-ACS	Calcium Hypochlorite (65%), ACS Reagent Grade, 25 kg Bag	Water Treatment	333.75	525.94	0.3654	337.29	58481.69	0.7441
SOL-IA-1G-TECH	Isopropyl Alcohol, 1 Gal	Solvents	25.41	30.56	0.1686	28.48	608954.02	0.6594
WTR-IER-50LB-TECH-2	Ion Exchange Resin (Anion), 50 lb Bag	Water Treatment	520.9	816.83	0.3623	572.95	398954.52	0.7062
BAS-SM-500G-TECH	Sodium Metasilicate, 500 g	Bases & Alkalis	3.42	5.13	0.3333	3.57	0	
BAS-CH-50LB-IND	Calcium Hydroxide, Industrial Grade, 50 lb Bag	Bases & Alkalis	84.12	112.75	0.2539	87.19	0	
SOL-MEK-55G-IND	Methyl Ethyl Ketone (MEK), Industrial Grade, 55 Gal Drum	Solvents	1828.14	2281.7	0.1988	2317.21	0	
SOL-DICH-55G-ACS	Dichloromethane (DCM), ACS Reagent Grade, 55 Gal Drum	Solvents	2408.66	3141.64	0.2333	2454.08	0	
SOL-GEP-1G-TECH	Glycol Ether PM, 1 Gal	Solvents	45.22	61.6	0.2659	47.17	0	
SAL-SS-2P5KG-TECH-2	Sodium Sulfide (60%), 2.5 kg	Salts & Inorganic Compounds	18.33	24.32	0.2464	18.38	0	
SAL-AN-2P5KG-TECH	Ammonium Nitrate, 2.5 kg	Salts & Inorganic Compounds	13.98	19.94	0.2989	13.77	0	
OXD-SC-25KG-TECH	Sodium Chlorate, 25 kg Bag	Industrial Gases & Oxidizers	150.04	229.4	0.3459	172.62	6594.87	0.3572
SPC-RM-500ML-IND	Rheology Modifier (Polyurethane), Industrial Grade, 500 mL	Specialty Chemicals	19.75	49.1	0.5977	20.95	8536.53	0.4156
WTR-AC-500G-IND	Activated Carbon (Granular), Industrial Grade, 500 g	Water Treatment	7.41	12.09	0.3873	7.85	0	
BAS-CO-50LB-IND	Calcium Oxide (Quicklime), Industrial Grade, 50 lb Bag	Bases & Alkalis	65.69	99.05	0.3368	71.46	0	
BAS-SH-25KG-TECH	Sodium Hydroxide (Caustic Soda), 25 kg Bag	Bases & Alkalis	96.58	155.31	0.3782	109.12	663843.83	0.5575
ACD-CA-50LB-USP	Citric Acid, USP/NF Grade, 50 lb Bag	Acids	296.77	452.24	0.3438	304.72	0	
SOL-NAPH-500ML-IND	Naphtha, Industrial Grade, 500 mL	Solvents	4.6	7.65	0.3984	4.93	0	
ACD-MA-2P5KG-ACS	Maleic Acid, ACS Reagent Grade, 2.5 kg	Acids	48.52	80.08	0.3941	50.22	727367.61	0.7409
WTR-FC-5G-TECH	Ferric Chloride (40%), 5 Gal	Water Treatment	68.98	104.91	0.3425	79.91	0	
WTR-IER-50LB-IND-2	Ion Exchange Resin (Anion), Industrial Grade, 50 lb Bag	Water Treatment	563.49	798.75	0.2945	619.8	575020.03	0.1
ADD-ANTI-25KG-TECH	Antioxidant (BHT), 25 kg Bag	Plasticizers & Additives	269.98	461.22	0.4146	279.23	577245.44	0.6017
SOL-TURP-500ML-IND	Turpentine, Industrial Grade, 500 mL	Solvents	6.71	9.33	0.2809	7.28	0	
SOL-TURP-5G-IND	Turpentine, Industrial Grade, 5 Gal	Solvents	178.05	246.06	0.2764	193.24	0	
WTR-FC-1G-TECH	Ferric Chloride (40%), 1 Gal	Water Treatment	16.55	23.31	0.29	19.17	0	
SAL-CC-2P5KG-TECH	Calcium Chloride (Flake), 2.5 kg	Salts & Inorganic Compounds	13.34	19.91	0.33	12.7	0	
SOL-GEE-500ML-IND	Glycol Ether EB, Industrial Grade, 500 mL	Solvents	7.13	9.41	0.2422	7.8	121449.74	0.4815
WTR-CH-500G-IND	Calcium Hypochlorite (65%), Industrial Grade, 500 g	Water Treatment	6.51	8.38	0.2235	6.58	56734.14	0.6953
PIG-TD-500G-IND	Titanium Dioxide (Rutile), Industrial Grade, 500 g	Pigments & Dyes	12.26	18.18	0.3255	11.67	0	
SRF-NE-1G-IND	Nonylphenol Ethoxylate (NP-9), Industrial Grade, 1 Gal	Surfactants & Emulsifiers	52.73	89.33	0.4097	56.92	0	
SOL-DE-55G-ACS	Diethyl Ether, ACS Reagent Grade, 55 Gal Drum	Solvents	2939.32	3977.55	0.261	3039.08	1212014.35	0.419
SOL-XYLE-1G-TECH	Xylene, 1 Gal	Solvents	40.08	58.49	0.3148	47.91	12532.21	0.3722
ADD-DP-5G-TECH	Diisononyl Phthalate (DINP), 5 Gal	Plasticizers & Additives	220.72	371.53	0.4059	240.54	659705.27	0.2793
WTR-IER-2P5KG-TECH-2	Ion Exchange Resin (Anion), 2.5 kg	Water Treatment	68.77	104.61	0.3426	75.64	88640.88	0.6497
SOL-GEP-500ML-TECH	Glycol Ether PM, 500 mL	Solvents	7.32	10.35	0.293	7.64	0	
ADD-TC-500ML-TECH	Triethyl Citrate, 500 mL	Plasticizers & Additives	11.48	16.82	0.3175	15.49	0	
SOL-ETHA-500ML-USP	Ethanol (Denatured), USP/NF Grade, 500 mL	Solvents	7.34	10.64	0.3099	8.67	344411.08	0.3941
SOL-N-BU-500ML-IND	n-Butanol, Industrial Grade, 500 mL	Solvents	5.84	7.54	0.2259	6.31	0	
SOL-XYLE-5G-IND	Xylene, Industrial Grade, 5 Gal	Solvents	182.27	271.25	0.328	217.88	688226.69	0.5823
RES-PR-500ML-TECH-2	Phenolic Resin, 500 mL	Resins & Polymers	8.24	13.87	0.4059	9.28	209605.12	0.7257
WTR-AC-25KG-TECH	Activated Carbon (Granular), 25 kg Bag	Water Treatment	254.84	345.88	0.2632	269.95	0	
ACD-HA-1G-TECH-2	Hydrofluoric Acid (49%), 1 Gal	Acids	109.37	153.4	0.287	131.16	0	
PIG-TD-500G-TECH	Titanium Dioxide (Anatase), 500 g	Pigments & Dyes	9.29	18.02	0.4845	9.32	27005.38	0.4144
ACD-CA-500G-IND-2	Chromic Acid, Industrial Grade, 500 g	Acids	15.2	24.55	0.3808	15.94	5000	0.3056
SAL-SS-50LB-IND	Sodium Sulfate (Anhydrous), Industrial Grade, 50 lb Bag	Salts & Inorganic Compounds	70.62	96.74	0.27	69.98	27086.09	0.2713
ACD-PA-5G-IND	Phosphoric Acid (85%), Industrial Grade, 5 Gal	Acids	112.39	163.24	0.3115	119.02	1028819.27	0.6109
BAS-LH-500G-IND	Lithium Hydroxide, Industrial Grade, 500 g	Bases & Alkalis	23.11	29.88	0.2267	26.98	0	
SAL-AC-25KG-IND	Ammonium Chloride, Industrial Grade, 25 kg Bag	Salts & Inorganic Compounds	134.97	171.89	0.2148	137.76	0	
ADD-ATC-1G-TECH	Acetyl Tributyl Citrate (ATBC), 1 Gal	Plasticizers & Additives	88.19	143.02	0.3834	95.13	289099.65	0.8258
SOL-METH-55G-TECH	Methanol, 55 Gal Drum	Solvents	769.54	1003.21	0.2329	762.93	120600.93	0.3317
ADD-ANTI-2P5KG-TECH	Antioxidant (BHT), 2.5 kg	Plasticizers & Additives	32.35	56.41	0.4265	33.46	940200.19	0.2974
BAS-MO-25KG-ACS	Magnesium Oxide, ACS Reagent Grade, 25 kg Bag	Bases & Alkalis	209.12	302.53	0.3088	220.6	0	
SOL-NAPH-55G-TECH	Naphtha, 55 Gal Drum	Solvents	1003.89	1278.02	0.2145	1075.84	0	
PIG-BS-500G-TECH	Barium Sulfate (Blanc Fixe), 500 g	Pigments & Dyes	3.18	4.48	0.2906	3.22	0	
ACD-BA-2P5KG-IND-2	Benzoic Acid, Industrial Grade, 2.5 kg	Acids	32.06	50.2	0.3614	32.68	74415.13	0.6919
ACD-HA-55G-TECH-2	Hydrofluoric Acid (49%), 55 Gal Drum	Acids	3845.6	6054.78	0.3649	4611.83	0	
WTR-IER-25KG-ACS	Ion Exchange Resin (Cation), ACS Reagent Grade, 25 kg Bag	Water Treatment	718.66	1006.27	0.2858	834.85	0	
SPC-INIT-500G-TECH	Initiator (Benzoyl Peroxide), 500 g	Specialty Chemicals	14.32	38.57	0.6287	17.8	0	
BAS-CH-25KG-IND	Calcium Hydroxide, Industrial Grade, 25 kg Bag	Bases & Alkalis	86.6	116.48	0.2565	89.77	0	
ACD-NA-1G-TECH	Nitric Acid, 1 Gal	Acids	27.38	45.34	0.3962	28.49	0	
ADD-HALS-500G-IND	Hindered Amine Light Stabilizer (HALS), Industrial Grade, 500 g	Plasticizers & Additives	36.88	62.6	0.4109	43.12	0	
OXD-SP-500G-IND	Sodium Persulfate, Industrial Grade, 500 g	Industrial Gases & Oxidizers	7.6	12.63	0.3985	8.8	0	
WTR-AC-25KG-IND	Activated Carbon (Granular), Industrial Grade, 25 kg Bag	Water Treatment	258.93	378.81	0.3165	274.29	0	
PIG-CY-500G-TECH	Chrome Yellow, 500 g	Pigments & Dyes	8.3	12.14	0.3162	8.74	0	
WTR-FS-25KG-TECH	Ferrous Sulfate, 25 kg Bag	Water Treatment	66.36	105.29	0.3697	66.67	0	
SOL-N-BU-1G-TECH	n-Butanol, 1 Gal	Solvents	37	48.93	0.2438	39.98	0	
BAS-SB-25KG-TECH	Sodium Bicarbonate, 25 kg Bag	Bases & Alkalis	105.14	142.75	0.2635	113.54	102144.91	0.7774
SAL-AC-50LB-ACS	Ammonium Chloride, ACS Reagent Grade, 50 lb Bag	Salts & Inorganic Compounds	174.57	238.26	0.2673	178.17	0	
RES-HC-2P5KG-IND	Hydroxyethyl Cellulose (HEC), Industrial Grade, 2.5 kg	Resins & Polymers	38.73	53.33	0.2738	40.81	0	
ACD-FA-500ML-ACS	Formic Acid (88%), ACS Reagent Grade, 500 mL	Acids	9.54	14.26	0.3308	12.03	19396.03	0.9211
BAS-DIET-55G-TECH	Diethanolamine (DEA), 55 Gal Drum	Bases & Alkalis	1674.16	2456.14	0.3184	1704.11	0	
SOL-ETHA-5G-USP	Ethanol (Denatured), USP/NF Grade, 5 Gal	Solvents	198.56	265.31	0.2516	234.45	749964.78	0.5437
SAL-CS-2P5KG-TECH	Copper Sulfate, 2.5 kg	Salts & Inorganic Compounds	21.62	29.51	0.2675	24.92	0	
WTR-SH-2P5KG-IND	Sodium Hexametaphosphate, Industrial Grade, 2.5 kg	Water Treatment	21.07	35.17	0.4009	29.4	0	
SAL-SC-50LB-USP	Sodium Chloride (Industrial), USP/NF Grade, 50 lb Bag	Salts & Inorganic Compounds	69.18	97.62	0.2914	96.54	0	
RES-AR-1G-IND	Alkyd Resin (Long Oil), Industrial Grade, 1 Gal	Resins & Polymers	44.88	94.33	0.5242	50.82	5756.7	0.6951
WTR-AC-500G-ACS-2	Activated Carbon (Powdered), ACS Reagent Grade, 500 g	Water Treatment	9.67	13.94	0.3064	10.62	50297.77	0.4067
BAS-LH-50LB-IND	Lithium Hydroxide, Industrial Grade, 50 lb Bag	Bases & Alkalis	746.48	1212.86	0.3845	871.58	0	
ACD-FA-500G-TECH	Fumaric Acid, 500 g	Acids	7.41	11.4	0.3498	7.62	139325.27	0.8861
SAL-CC-50LB-TECH	Calcium Chloride (Flake), 50 lb Bag	Salts & Inorganic Compounds	103.45	130.4	0.2067	98.52	0	
SPC-ZO-500ML-TECH	Zirconium Octoate, 500 mL	Specialty Chemicals	32.41	74.04	0.5622	35.88	0	
SOL-DIME-1G-IND	Dimethylformamide (DMF), Industrial Grade, 1 Gal	Solvents	56.48	79.18	0.2867	69.79	0	
SOL-PE-55G-IND	Petroleum Ether, Industrial Grade, 55 Gal Drum	Solvents	1200.23	1776.68	0.3245	1262.24	21388.7	0.6725
SAL-ST-25KG-TECH	Sodium Thiosulfate, 25 kg Bag	Salts & Inorganic Compounds	138.81	184.86	0.2491	149.6	41804.36	0.5577
OIL-MW-500G-TECH	Microcrystalline Wax, 500 g	Oils & Waxes	7.61	11.71	0.3503	10.17	13977.1	0.8302
SOL-CYCL-55G-TECH	Cyclohexane, 55 Gal Drum	Solvents	1401.93	1655.11	0.153	1531.37	5000000	0.782
OIL-CW-2P5KG-TECH	Carnauba Wax, 2.5 kg	Oils & Waxes	70.93	114.82	0.3822	83.06	172601.21	0.8039
SOL-DIME-55G-TECH	Dimethylformamide (DMF), 55 Gal Drum	Solvents	2082.05	2845.97	0.2684	2572.78	0	
SPC-FLUO-1G-TECH	Fluorosurfactant, 1 Gal	Specialty Chemicals	381.36	755.89	0.4955	537.65	0	
BAS-AH-55G-TECH	Ammonium Hydroxide (28%), 55 Gal Drum	Bases & Alkalis	920.51	1324.11	0.3048	934.75	0	
SAL-ZC-50LB-IND	Zinc Chloride, Industrial Grade, 50 lb Bag	Salts & Inorganic Compounds	207.43	279.55	0.258	213.17	0	
ACD-CA-2P5KG-IND	Citric Acid, Industrial Grade, 2.5 kg	Acids	25.08	31.78	0.2108	25.75	0	
WTR-SB-5G-IND	Sodium Bisulfite (38%), Industrial Grade, 5 Gal	Water Treatment	96.99	130.6	0.2573	99.33	0	
BAS-LH-50LB-TECH	Lithium Hydroxide, 50 lb Bag	Bases & Alkalis	770.43	1134.6	0.321	899.54	0	
SOL-DS-5G-IND	Dimethyl Sulfoxide (DMSO), Industrial Grade, 5 Gal	Solvents	266.93	433.94	0.3849	287.06	0	
BAS-MONO-1G-TECH	Monoethanolamine (MEA), 1 Gal	Bases & Alkalis	41.23	51.77	0.2036	44.22	0	
SPC-OC-1G-TECH	Organotin Catalyst (T-12), 1 Gal	Specialty Chemicals	231.01	432.68	0.4661	240.08	0	
ACD-GA-55G-IND	Glycolic Acid (70%), Industrial Grade, 55 Gal Drum	Acids	2067.72	3128.33	0.339	1941.89	0	
SRF-SM-500ML-IND	Sorbitan Monooleate (Span 80), Industrial Grade, 500 mL	Surfactants & Emulsifiers	10.27	15.4	0.333	10.61	0	
OIL-PW-500G-TECH	Polyethylene Wax, 500 g	Oils & Waxes	8.53	14.48	0.411	8.96	0	
BAS-LH-500G-TECH	Lithium Hydroxide, 500 g	Bases & Alkalis	23.09	33.95	0.3199	26.96	0	
ACD-MA-50LB-IND	Maleic Acid, Industrial Grade, 50 lb Bag	Acids	280.29	430.68	0.3492	290.09	434910.98	0.6603
SOL-D-LI-1G-IND	d-Limonene, Industrial Grade, 1 Gal	Solvents	64.24	81.49	0.2117	73.67	282043.33	0.3614
BAS-PC-50LB-TECH	Potassium Carbonate, 50 lb Bag	Bases & Alkalis	160.36	208.88	0.2323	170.94	577708.96	0.2532
SOL-MIK-1G-TECH	Methyl Isobutyl Ketone (MIBK), 1 Gal	Solvents	51	69.71	0.2684	53.72	0	
SAL-PN-25KG-TECH	Potassium Nitrate, 25 kg Bag	Salts & Inorganic Compounds	220.96	292.72	0.2452	230.83	70194.03	0.4942
WTR-POLY-500G-TECH-2	Polyacrylamide (Cationic), 500 g	Water Treatment	10.92	15.54	0.2971	12.3	0	
SAL-ST-50LB-IND	Sodium Thiosulfate, Industrial Grade, 50 lb Bag	Salts & Inorganic Compounds	126.32	180.73	0.3011	136.14	1248478.3	0.6193
SOL-N-BU-5G-IND	n-Butanol, Industrial Grade, 5 Gal	Solvents	156.53	229.47	0.3179	169.15	0	
BAS-MO-500G-IND	Magnesium Oxide, Industrial Grade, 500 g	Bases & Alkalis	4	6.18	0.3523	4.22	0	
SOL-DE-1G-IND	Diethyl Ether, Industrial Grade, 1 Gal	Solvents	59.62	73.66	0.1906	61.64	99813.48	0.6391
BAS-PH-500G-TECH	Potassium Hydroxide, 500 g	Bases & Alkalis	4.06	5.11	0.2055	5	0	
