note_id	date	type	note
NOTE-0050	11/11/25	strategic_directive	Per Regional Dir.: Do NOT reduce pricing on solvents. These are differentiated products and we need to protect margins. If customers push back, sell value, don't discount. Our technical support justifies the premium.
NOTE-0019	February 11	customer_complaint	Call from Heartland Ag Solutions — their procurement team is pushing back hard on Formic Acid pricing. They've been a loyal account for 8 years but say our prices have crept up way beyond market. Need to review. — Mark A.
NOTE-0117	02/01	vague	That product we had the quality issue with last month — customers are still upset. Might need a goodwill price adjustment on the next few orders. — Laura N.
NOTE-0121	26-Mar-2026	sales_feedback	Disagree with the view that we should raise water treatment chemicals. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Chris W.
NOTE-0088	02-Nov-2025	product_detail	We're losing more Sodium Sulfate quotes than we're winning. Out of every 10 quotes I send, maybe 3 come back signed. Something is off with our pricing on this one. — Maria G.
NOTE-0114	Feb 13, 2026	vague	Our pricing is all over the place on the commodity products. Some things we're the cheapest in the market, others we're 30% above. No consistency. — Amanda L.
NOTE-0052	16-Nov-2025	strategic_directive	Per VP Sales: Do NOT reduce pricing on alkalis. These are differentiated products and we need to protect margins. If customers push back, sell value, don't discount. Our technical support justifies the premium.
NOTE-0082	16-Dec-2025	internal_ops	Inventory alert: pigments stock is critically low. We've been backordering for 3 weeks. When supply comes back in, suggest we hold pricing steady — customers will pay more for availability right now.
NOTE-0089	March 22	product_detail	We win almost every 2-Propanol quote we send out. Either we have the best product or we're the cheapest. Given our margins I think there's room to raise. — Tom B.
NOTE-0022	12/16	customer_complaint	Pacific Adhesives purchasing called about THF. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Sarah K.
NOTE-0014	October 18	lost_deal	Bad news — Continental Rubber is moving their ethyl acetate business to Nexeo Solutions. They showed me the competing quote, we were 7% higher. I think we can win it back if we sharpen pricing on the next contract cycle. — Dan J.
NOTE-0058	October 03	volume_opportunity	Heads up — Hawkeye Ethanol consolidating their Glycol Ether EB purchases to a single supplier. $147K/year up for grabs. Nexeo Solutions is bidding too. We need our best price. — Sarah K.
NOTE-0092	2025-10-11	product_detail	Nothing major to report on Initiator. Steady product, steady demand. Standard cost-plus repricing should be fine here. — Chris W.
NOTE-0038	Nov 07	supply_chain	Supply alert: our primary Boric Acid supplier had a force majeure declaration. Allocations in place, expect spot prices to spike. Lock in what we can at current costs.
NOTE-0032	December 09	market_intel	Industry report says surfactants demand is up 10% YoY driven by construction. Supply is tight — expect continued price pressure from suppliers.
NOTE-0044	11/03/2025	supply_chain	Logistics update — ethanol lead times have gone from 2 weeks to 6-8 weeks. Port congestion + plant turnaround at the main producer. Costs will go up, question is how much we pass through.
NOTE-0091	10/09	product_detail	Fumaric Acid is performing as expected. No major competitive pressure. Recommend standard annual increase. — Lisa M.
NOTE-0047	Dec 09, 2025	strategic_directive	Strategic note from VP Sales: our pigment line is a strategic growth area for next year. We have budget for promotional pricing on first orders. Be aggressive but track ROI on every discount given.
NOTE-0046	11/11	strategic_directive	Per VP Sales: Do NOT reduce pricing on plasticizers. These are differentiated products and we need to protect margins. If customers push back, sell value, don't discount. Our technical support justifies the premium.
NOTE-0061	March 08	volume_opportunity	Heads up — Chesapeake Seafood Processing consolidating their Cyclohexane purchases to a single supplier. $61K/year up for grabs. Azelis is bidding too. We need our best price. — Dave P.
NOTE-0034	03/23/26	market_intel	Heard at the distributor conference that process oils pricing is softening across the board. Multiple suppliers cutting list prices 25%. We might be able to negotiate better costs next quarter.
NOTE-0060	21-Dec-2025	volume_opportunity	Heads up — Midwest Plating consolidating their Potassium Persulfate purchases to a single supplier. 4 truckloads/month up for grabs. Brenntag is bidding too. We need our best price. — Maria G.
NOTE-0024	27-Mar-2026	customer_complaint	Heritage Soap Co purchasing called about sodium lauryl sulfate. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Dave P.
NOTE-0112	December 06	vague	Big accounts are starting to compare our drum vs pail pricing and noticing we don't give much of a volume break. Kolmar Group apparently gives 20% off at drum quantities. — Tom B.
NOTE-0067	Dec 12	regulatory	New EPA regulations on VOC content will affect our solvent line. Several customers in CA are already asking for low-VOC alternatives. We may need to adjust pricing on high-VOC solvents as demand shifts — could actually increase price on remaining volume since it's a shrinking but captive market.
NOTE-0028	March 24	market_intel	Word from our our acid products suppliers is that they're planning a 25% increase effective Q1. Haven't seen official letters yet but want to flag for the pricing review.
NOTE-0027	Dec 24	customer_complaint	Call from Bayou Chemical Processing — their procurement team is pushing back hard on rubbing alcohol pricing. They've been a loyal account for 8 years but say our prices have crept up way beyond market. Need to review. — Dan J.
NOTE-0078	10/28/25	internal_ops	Logistics team says freight costs for our acid products are up 12% due to the new carrier contract. Particularly impactful on the heavy/bulk formats. We've been absorbing this for 3 months — time to pass it through?
NOTE-0110	Jan 04, 2026	vague	Multiple customers asking why the same chemical costs so much more in ACS grade vs technical. The markup seems excessive — they're asking if the testing really costs that much more. — Dave P.
NOTE-0102	10/18	size_specific	Can we restructure hydrated lime pricing by format? Right now the per-unit cost barely drops from 1 gal to 5 gal. We should incentivize the larger format — higher total $ per order, lower handling cost for us. — Amanda L.
NOTE-0126	10/15/25	sales_feedback	I think we need to raise prices on pigments. We're leaving margin on the table and customers aren't pushing back when I quote. — Jennifer H.
NOTE-0109	12/12	seasonal	Reminder that demand for road salt peaks during winter season (October-February). Historically we raise prices 3-5% going into peak and customers accept it. Worth factoring into the annual reprice. — Emily V.
NOTE-0006	21-Oct-2025	lost_deal	Just lost a white spirit bid for Delta Plastics. Brenntag undercut us again. This is the third account this quarter that's walked on this product. — Lisa M.
NOTE-0111	Dec 05	vague	Multiple customers asking why the same chemical costs so much more in ACS grade vs technical. The markup seems excessive — they're asking if the testing really costs that much more. — Nicole F.
NOTE-0132	Jan 22	sales_feedback	I think we need to raise prices on our specialty products. We're leaving margin on the table and customers aren't pushing back when I quote. — Dave P.
NOTE-0003	01/29	lost_deal	Lost the Delta Plastics account on isopropyl. Chemours came in 7% below us. Customer said they like our service but can't justify the premium anymore. — Kevin T.
NOTE-0033	2026-02-21	market_intel	Industry report says bulk salts demand is up 11% YoY driven by construction. Supply is tight — expect continued price pressure from suppliers.
NOTE-0029	2025-12-06	market_intel	Trade journal article says salts raw material costs are expected to increase 23% next year due to energy prices. We should get ahead of this in our pricing.
NOTE-0018	28-Dec-2025	customer_complaint	Prairie Grain Processing purchasing called about 2-Propanol. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Nicole F.
NOTE-0120	02/06/26	sales_feedback	I think we need to raise prices on water treatment chemicals. We're leaving margin on the table and customers aren't pushing back when I quote. — Dan J.
NOTE-0096	03-Jan-2026	product_detail	Potassium Carbonate is our easiest sell — customers barely negotiate. Makes me wonder if we're priced too low. Might have room to push pricing up 5-10% without losing anyone. — Lisa M.
NOTE-0076	12/30/25	cross_sell	Empire State Pharma asked for a bundled discount across the emulsifier line, colorants. Willing to consolidate all purchases with us for a 5-8% discount. Worth it — they're currently splitting between us and Azelis. — Rachel D.
NOTE-0108	03-Dec-2025	seasonal	Last year we missed the window to adjust solvents pricing before coatings season (spring). Competitor raised prices 8% and we left money on the table. Let's not make that mistake again.
NOTE-0015	2026-03-18	lost_deal	Just lost a Polyvinylpyrrolidone bid for Columbia Paint & Stain. Omya undercut us again. This is the third account this quarter that's walked on this product. — Dave P.
NOTE-0001	04-Dec-2025	lost_deal	Lost the Keystone Pharma account on baking soda. Chemours came in 12% below us. Customer said they like our service but can't justify the premium anymore. — Jennifer H.
NOTE-0097	March 04	product_detail	Nothing major to report on Cyclohexane. Steady product, steady demand. Standard cost-plus repricing should be fine here. — Amanda L.
NOTE-0070	Jan 25	regulatory	California Prop 65 update affects several of our surfactants products. Need to add warning labels which costs ~$0.50/unit. Should we absorb or pass through?
NOTE-0055	Jan 30, 2026	volume_opportunity	Patriot Defense Materials expanding their plant — going to need $487K/year of 2-Propanol starting Q2. They want a 3-year contract. If we lock them in now at a competitive price, this is huge. — Chris W.
NOTE-0071	10/13/25	regulatory	New EPA regulations on VOC content will affect our solvent line. Several customers in CA are already asking for low-VOC alternatives. We may need to adjust pricing on high-VOC solvents as demand shifts — could actually increase price on remaining volume since it's a shrinking but captive market.
NOTE-0129	16-Nov-2025	sales_feedback	Disagree with the view that we should raise plasticizers. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Dan J.
NOTE-0101	03/16/26	size_specific	Can we restructure Styrene-Butadiene Latex pricing by format? Right now the per-unit cost barely drops from 1 gal to 5 gal. We should incentivize the larger format — higher total $ per order, lower handling cost for us. — Maria G.
NOTE-0017	2026-03-20	customer_complaint	Acme Coatings is threatening to put Phenolic Resin out for bid if we don't come down on price. They're buying 4 pallets/month. Worth keeping. — Maria G.
NOTE-0128	12/26/2025	sales_feedback	I think we need to raise prices on plasticizers. We're leaving margin on the table and customers aren't pushing back when I quote. — Brian S.
NOTE-0094	04-Jan-2026	product_detail	Maleic Acid is performing as expected. No major competitive pressure. Recommend standard annual increase. — Laura N.
NOTE-0008	Mar 27	lost_deal	Bad news — Pinnacle Surface Tech is moving their Maleic Acid business to TER Group. They showed me the competing quote, we were 17% higher. I think we can win it back if we sharpen pricing on the next contract cycle. — Brian S.
NOTE-0107	October 09	seasonal	Last year we missed the window to adjust resins pricing before construction season. Competitor raised prices 8% and we left money on the table. Let's not make that mistake again.
NOTE-0041	2025-11-11	supply_chain	Supply alert: our primary Hydrofluoric Acid supplier had a force majeure declaration. Allocations in place, expect spot prices to spike. Lock in what we can at current costs.
NOTE-0056	Feb 12, 2026	volume_opportunity	Prairie Grain Processing expanding their plant — going to need 176 drums/month of Sodium Silicate starting Q2. They want a 3-year contract. If we lock them in now at a competitive price, this is huge. — Jennifer H.
NOTE-0049	14-Nov-2025	strategic_directive	Directive from Head of Commercial: our additive range margins are best-in-class but our volume is declining. We're overpricing ourselves out of the market. Need a competitive reset — target market-rate pricing, not cost-plus.
NOTE-0002	Mar 24, 2026	lost_deal	Just lost a SDA bid for Patriot Defense Materials. Azelis undercut us again. This is the third account this quarter that's walked on this product. — Nicole F.
NOTE-0063	November 26	volume_opportunity	Big opportunity: Prairie Grain Processing is putting out an RFQ for Maleic Acid, $226K/year. We need to be sharp on pricing to win this. Current margins are too high for this kind of volume deal. — Kevin T.
NOTE-0045	Nov 01	supply_chain	Just got word that the methyl ethyl ketone plant in Texas is down for unplanned maintenance. 4-6 week outage expected. This will tighten supply across the market. We should be thinking about price adjustments now.
NOTE-0016	Dec 26, 2025	customer_complaint	Continental Rubber purchasing called about Potassium Nitrate. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Dan J.
NOTE-0025	Dec 10	customer_complaint	Delta Plastics is threatening to put H3PO4 out for bid if we don't come down on price. They're buying 4 pallets/month. Worth keeping. — Maria G.
NOTE-0059	Nov 20	volume_opportunity	Heads up — Evergreen Pulp & Paper consolidating their rubbing alcohol purchases to a single supplier. 29 totes/quarter up for grabs. Omya is bidding too. We need our best price. — Lisa M.
NOTE-0087	10/06/2025	product_detail	Salicylic Acid is performing as expected. No major competitive pressure. Recommend standard annual increase. — Jennifer H.
NOTE-0116	2025-10-02	vague	Our pricing is all over the place on the commodity products. Some things we're the cheapest in the market, others we're 30% above. No consistency. — Jennifer H.
NOTE-0118	03/26/2026	sales_feedback	I think we need to raise prices on our oil line. We're leaving margin on the table and customers aren't pushing back when I quote. — Kevin T.
NOTE-0124	Nov 10, 2025	sales_feedback	I think we need to raise prices on acids. We're leaving margin on the table and customers aren't pushing back when I quote. — Amanda L.
NOTE-0005	2026-03-02	lost_deal	Just lost a Glycol Ether EB bid for Empire State Pharma. Brenntag undercut us again. This is the third account this quarter that's walked on this product. — Maria G.
NOTE-0062	20-Feb-2026	volume_opportunity	New project at Acme Coatings will require Maleic Acid in 32 totes/quarter. They asked for a quote by end of month. Can we get special pricing approved? This could be our biggest new account this year. — Nicole F.
NOTE-0026	2026-03-20	customer_complaint	Continental Rubber purchasing called about Sodium Sulfate. They said 'your competitor offered us the same product for 20% less, what can you do?' Didn't name which competitor. — Jennifer H.
NOTE-0119	06-Feb-2026	sales_feedback	Disagree with the view that we should raise our oil line. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Dave P.
NOTE-0115	31-Dec-2025	vague	The new guy at Prairie Grain Processing is shopping everything. All our key products there are at risk. He's a price buyer. — Rachel D.
NOTE-0077	03-Oct-2025	cross_sell	Summit Composites buys alkalis, the oxidizer line and the solvent portfolio from us. Total wallet is $609K/year. If we lose them on one category they'll probably move everything. Need holistic pricing. — Laura N.
NOTE-0125	Jan 13, 2026	sales_feedback	Disagree with the view that we should raise acids. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Steve C.
NOTE-0133	Nov 16	sales_feedback	Disagree with the view that we should raise our specialty products. My territory is very competitive and I'm already losing deals. Any increase and I'll lose more. — Emily V.
